0,1,2
1,0,13
2,0,26
3,0,27
4,0,39
5,2,0
6,5,13
7,5,19
8,5,25
9,5,31
10,5,37
11,5,43
12,5,8
13,8,0
14,9,10
15,10,10
16,11,10
17,12,10
18,12,5
19,15,13
20,15,19
21,15,25
22,15,31
23,15,37
24,15,43
25,15,8
26,18,11
27,18,13
28,18,15
29,18,17
30,18,19
31,18,21
32,18,23
33,18,25
34,18,29
35,18,31
36,18,33
37,18,37
38,18,39
39,18,45
40,25,11
41,25,15
42,25,22
43,25,29
44,25,9
45,28,16
46,28,20
47,28,28
48,28,30
49,28,34
50,28,40
51,28,43
52,28,47
53,32,26
54,32,31
55,33,15
56,33,26
57,33,29
58,33,31
59,34,15
60,34,26
61,34,29
62,34,31
63,34,38
64,34,41
65,34,5
66,35,17
67,35,31
68,38,16
69,38,20
70,38,30
71,38,34
72,40,22
73,41,23
74,41,32
75,41,34
76,41,35
77,41,36
78,48,22
79,48,27
80,48,6
81,51,45
82,51,47
83,56,25
84,57,12
85,57,25
86,57,44
87,61,45
88,61,47
89,63,6
90,64,22
91,71,11
92,71,13
93,71,16
94,71,45
95,71,47
96,74,12
97,74,16
98,74,24
99,74,39
100,74,6
101,74,32
